店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
全席個室居酒屋 焼き鳥の絆 新宿東口店,050-5488-7729,,東京都,新宿区,歌舞伎町1-23-12,第10NKビル4F,https://ggzf000.gorp.jp/?_gl=1*1jr5d5w*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzY5MS4xNS4wLjA.,TRUE
海鮮・もつ鍋・焼鳥 3時間食べ飲み個室居酒屋 豪快や 新宿店,050-5492-5756,,東京都,新宿区,歌舞伎町1-17-7,B1,https://ghj9601.gorp.jp/?_gl=1*1wm3b77*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzcwOC41OC4wLjA.,TRUE
仙台牛タンと牛タンしゃぶしゃぶ 個室居酒屋 うまか 新宿店,050-5488-4070,,東京都,新宿区,新宿3-31-5,新宿ペガサス館5F,https://gj63702.gorp.jp/?_gl=1*1a43da1*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzcyNS40MS4wLjA.,TRUE
全100種食べ放題飲み放題 個室居酒屋 鶏三昧 新宿東口店,050-5492-2529,,東京都,新宿区,歌舞伎町1-17-5,Jビル3F,https://gh38800.gorp.jp/?_gl=1*1fmkh43*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzc0Mi4yNC4wLjA.,TRUE
北海道直送鮮魚と日本酒 完全個室居酒屋 あばれ鮮魚 新宿店,050-5485-9630,,東京都,新宿区,新宿3-36-13,Mビル6F,https://gcd1119.gorp.jp/?_gl=1*punq1g*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzc1OS43LjAuMA..,TRUE
串焼きと野菜巻きと九州料理の個室居酒屋 串ばってん 新宿店,050-5485-9590,,東京都,新宿区,新宿3-36-13,Mビル6F,https://gcd1118.gorp.jp/?_gl=1*mk2ttc*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzc3Ny41MC4wLjA.,TRUE
完全個室完備 999円飲み放題 厳選鍋も食べ放題 江戸小町 新宿店,050-5485-8163,,東京都,新宿区,西新宿1-2-1,4F,https://gcbm305.gorp.jp/?_gl=1*bgo5ir*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzc5OS4yOC4wLjA.,TRUE
個室＆貸切ラウンジ ワットフォード 新宿店,050-5485-3840,,東京都,新宿区,歌舞伎町1-12-2,第58東京ビル4F,https://gh7x903.gorp.jp/?_gl=1*qsrccf*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzgxNy4xMC4wLjA.,TRUE
全席個室居酒屋 焼き鳥の絆 新宿東口店,050-5488-7729,,東京都,新宿区,歌舞伎町1-23-12,第10NKビル4F,https://ggzf000.gorp.jp/?_gl=1*1xe5619*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzgzNC41OC4wLjA.,TRUE
肉寿司 食べ放題 個室居酒屋 KJミートダイニング 新宿西口店,050-5494-6611,,東京都,新宿区,西新宿1-14-3,2F,https://gc5t908.gorp.jp/?_gl=1*eqfxb*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzg1Mi40MC4wLjA.,TRUE
完全個室 47都道府県名物 本格鍋専門店 鍋っこ 新宿本店,080-4899-8939,,東京都,新宿区,歌舞伎町1-15-8,丸雄ビル4F,https://gj4g101.gorp.jp/?_gl=1*1rdrfdi*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzg2OS4yMy4wLjA.,TRUE
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 新宿歌舞伎町店,050-5492-3154,,東京都,新宿区,歌舞伎町1-14-3,川新ビル7F,https://ghfs202.gorp.jp/?_gl=1*17dzcfp*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzg4Ni42LjAuMA..,TRUE
【個室完備】焼き鳥野郎 新宿西口店,050-5492-0646,,東京都,新宿区,西新宿7-5-6,新宿ダイカンプラザ756 2F,,FALSE
炉端焼きと海鮮とおでん 完全個室居酒屋 はなこま 新宿三丁目店,050-5492-7879,,東京都,新宿区,新宿3-6-13,石井ビル4F・RF,https://ghe8001.gorp.jp/?_gl=1*1kccmyl*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzkxNi4zNy4wLjA.,TRUE
仙台牛タン酒場 たんや 奥村 新宿本店,050-5488-4764,,東京都,新宿区,西新宿1-15-2,第5オムニクスビルB1,https://ggvv500.gorp.jp/?_gl=1*joia5r*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzkzNC4xOS4wLjA.,TRUE
焼き鳥＆しゃぶしゃぶ食べ放題 個室居酒屋 酔月 新宿駅前店,050-5492-0272,,東京都,新宿区,歌舞伎町1-17-5,第二安田ビル4F,https://ge3h433.gorp.jp/?_gl=1*csvv1f*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzk1MS4yLjAuMA..,TRUE
個室空間 湯葉豆腐料理 千年の宴 歌舞伎町輝ビル店,03-3202-2788,,東京都,新宿区,歌舞伎町1-15-3,歌舞伎町輝ビルB1,https://ge41580.gorp.jp/?_gl=1*1hme287*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzk2OC41MC4wLjA.,TRUE
完全個室 チャイニーズダイニング 好来 代々木店,050-5485-7803,,東京都,渋谷区,千駄ヶ谷5-24-3,NTTドコモ代々木ビルアネックス2F,https://kouraiyoyo.gorp.jp/?_gl=1*15cxa0*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2Mzk4NS4zMy4wLjA.,TRUE
個室空間 湯葉豆腐料理 千年の宴 新宿東口駅前店,03-3358-9588,,東京都,新宿区,新宿3-27-10,武蔵野ビルB2,https://gey8558.gorp.jp/?_gl=1*td8kwb*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDAwMi4xNi4wLjA.,TRUE
おでん×厳選日本酒 酒場845 新宿三丁目店,050-5487-0482,,東京都,新宿区,新宿3-10-5,エリート50ビル1F,,FALSE
100円寿司と天ぷらの海鮮酒場 海のちから 新宿東口店,050-5486-4664,,東京都,新宿区,歌舞伎町1-18-7,新宿第一ビル,https://ghcv404.gorp.jp/?_gl=1*nam25d*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDA1NS4yMy4wLjA.,TRUE
完全個室で鮮魚と和牛 和食処 福家‐FUKUYA‐ 新宿南口店,050-5494-6034,,東京都,新宿区,西新宿1-18-5,甲新ビル5F,,FALSE
俺の串かつ黒田×炭火焼鳥めでた家 歌舞伎町輝ビル店,03-3205-7688,,東京都,新宿区,歌舞伎町1-15-3,歌舞伎町輝ビル3F,https://ge41582.gorp.jp/?_gl=1*1wdhgku*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDA4Ni41Mi4wLjA.,TRUE
～47都道府県の日本酒勢揃い～ 夢酒 新宿本店,050-5486-3770,,東京都,新宿区,歌舞伎町2-39-5,エムティティ新宿2F,https://gesu300.gorp.jp/?_gl=1*1skgaxa*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDEwMy4zNS4wLjA.,TRUE
居楽屋白木屋 歌舞伎町輝ビル店,03-5272-2388,,東京都,新宿区,歌舞伎町1-15-3,歌舞伎町輝ビル5F,https://ge41584.gorp.jp/?_gl=1*ptr25s*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDEyMC4xOC4wLjA.,TRUE
居楽屋白木屋 歌舞伎町総本店,03-3209-6788,,東京都,新宿区,歌舞伎町1-21-1,第二東亜会館,https://a444738.gorp.jp/?_gl=1*197z5oe*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDEzNy4xLjAuMA..,TRUE
九州料理と完全個室 美味か 新宿店,050-5486-9417,,東京都,新宿区,新宿4-1-13,田園新宿ビル4F,https://umakakoizakura.gorp.jp/?_gl=1*16hxxfh*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDE1NC41MC4wLjA.,TRUE
寿司・肉寿司・焼鳥食べ放題 個室和食処 もてなしや 新宿本店,03-5357-7305,,東京都,新宿区,新宿3-27-5,ケースリービル5F,https://ghzm003.gorp.jp/?_gl=1*vamaiz*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDE3MS4zMy4wLjA.,TRUE
近江屋 新宿西口店,050-5494-5463,,東京都,新宿区,西新宿1-4-5,明広ビル3F,https://gfek623.gorp.jp/?_gl=1*11yqgdo*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDE4OC4xNi4wLjA.,TRUE
山内農場 新宿西口駅前店,03-3342-3988,,東京都,新宿区,西新宿1-15-2,第5オムニクスビル4F,https://gd3a051.gorp.jp/?_gl=1*1d2930a*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDIwNS41OS4wLjA.,TRUE
全席個室 隠れ家ダイニング おすすめ家 新宿東口本店,050-5494-3951,,東京都,新宿区,新宿3-36-13,Mビル4F,https://ggzf403.gorp.jp/?_gl=1*3jlahj*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDIyMy40MS4wLjA.,TRUE
【個室完備】仙台牛タンと博多野菜巻き串の店 大舌賛 新宿本店,050-5488-7668,,東京都,新宿区,新宿3-36-13,三好ビル5F,https://ggzf400.gorp.jp/?_gl=1*ktu9jd*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDI0MS4yMy4wLjA.,TRUE
本格香港点心と個室空間 CHINA DOLL 新宿アイランドタワー店,050-5484-5428,,東京都,新宿区,西新宿6-5-1,新宿アイランドタワーパティオB1,https://chinadoll63045725.gorp.jp/?_gl=1*g11o0b*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2NDI1OC42LjAuMA..,TRUE
